!Sample_title	PRB12546 MixA	PRB12547 MixA	PRB12548 MixA	PRB12549 MixB	PRB12550 MixB	PRB12551 MixB	PRB12552 MixC	PRB12553 MixC	PRB12554 MixC	PRB12555 MixD	PRB12556 MixD	PRB12557 MixD
200664_s_at	1805.675	1785.259	1987.837	1378.426	1542.155	1453.12	1711.142	1498.015	1735.162	1691.327	1568.243	1682.947
201185_at	40.539	154.893	81.764	92.005	184.476	231.354	140.591	167.966	118.69	294.002	62.967	176.704
201348_at	116.742	79.288	109.821	5.543	150.123	122.598	140.987	83.689	125.283	229.899	45.627	235.463
201367_s_at	1418.74	1391.709	1463.658	715.752	693.698	838.7	1296.276	1115.243	986.302	936.955	1253.693	967.757
201369_s_at	1420.403	1329.739	1271.198	1104.147	1165.559	1102.985	1209.495	1211.377	1862.699	1405.203	1179.125	1365.061
201414_s_at	2136.154	2793.181	2710.422	1979.673	2986.867	2206.237	2110.344	2073.584	2457.195	2552.802	1841.382	2024.939
201506_at	3103.423	3182.711	3435.5	1732.035	1838.388	1783.742	3314.809	2996.403	2847.624	3116.731	3062.769	3161.062
201564_s_at	1234.354	1085.352	1018.929	713.06	693.694	582.856	1048.618	981.252	1085.625	993.619	1125.177	991.014
201681_s_at	238.24	346.147	324.627	112.103	204.991	127.091	252.64	279.119	168.806	218.627	218.436	257.391
202357_s_at	27.697	20.302	55.647	13.399	17.679	94.763	89.437	36.65	33.533	28.761	6.544	24.769
202411_at	84.513	149.976	15.215	70.283	26.566	16.292	79.643	67.889	101.074	62.929	124.365	151.7
202613_at	7342.824	7524.729	7928.951	6053.833	5611.319	5746.067	7189.887	7329.535	6819.822	7501.018	8213.517	7324.348
202838_at	1261.718	1059.235	1196.138	1336.478	1642.653	1519.439	1594.503	1743.188	1600.886	1611.48	1470.241	1585.672
202861_at	332.222	51.538	216.044	273.385	49.838	80.84	244.277	216.319	253.101	59.387	286.932	161.295
202953_at	141.283	131.419	74.597	91.421	81.812	108.54	40.543	47.275	55.097	81.023	96.75	128.515
203065_s_at	171.502	253.603	187.165	129.847	129.521	111.341	142.901	119.005	190.963	146.304	189.428	191.666
203270_at	1434.052	1268.293	1408.428	1131.248	1459.098	1261.45	1553.546	1545.646	1420.526	1445.898	1600.366	1383.671
203305_at	309.802	242.74	212.087	181.483	261.485	204.183	259.304	297.404	321.801	250.451	239.313	319.002
203434_s_at	537.247	483.707	512.546	1088.079	906.161	1097.957	299.228	331.412	394.207	714.668	701.708	688.014
