!Sample_title	PRB12534 Jurkat	PRB12535 Jurkat	PRB12536 Jurkat	PRB12537 IM-9	PRB12538 IM-9	PRB12539 IM-9	PRB12540 Raji	PRB12541 Raji	PRB12542 Raji	PRB12543 THP-1	PRB12544 THP-1	PRB12545 THP-1
200664_s_at	2097.455	2180.025	2658.989	989.54	1631.742	1552.632	1200.295	1196.383	1471.898	2220.461	1802.326	1829.924
201185_at	160.561	27.856	157.431	26.186	42.266	25.915	24.262	38.601	17.541	279.73	87.459	110.099
201348_at	295.92	67.313	92.985	169.204	107.204	85.068	55.674	112.936	69.343	182.987	132.662	93.492
201367_s_at	546.258	543.498	554.765	260.168	335.365	480.467	238.133	185.633	284.577	1855.734	2550.912	2370.31
201369_s_at	1064.937	909.627	955.194	465.743	611.539	649.58	357.608	451.475	574.411	2406.279	3330.526	3382.36
201414_s_at	3735.342	2659.087	3795.802	2701.957	2712.988	3004.729	2289.101	2835.405	1710.453	2834.462	2326.24	2407.73
201506_at	23.107	18.259	27.605	14.079	29.583	13.497	19.676	27.964	51.725	6602.635	7973.527	6873.334
201564_s_at	185.43	158.617	183.79	216.904	478.546	458.682	15.457	38.683	111.873	2045.119	2456.259	2111.98
201681_s_at	362.638	509.262	336.957	401.408	320.511	359.223	72.231	66.955	11.244	269.402	365.901	262.66
202357_s_at	79.158	18.113	12.491	7.326	23.5	13.122	10.906	61.193	34.956	12.367	22.501	10.952
202411_at	54.894	49.069	90.305	18.795	59.866	21.919	16.549	28.33	93.334	93.675	95.518	162.688
202613_at	4551.841	5198.939	5168.964	2811.316	4229.424	3998.947	2833.386	2614.064	3950.824	9545.319	10459.164	10193.85
202838_at	928.751	901.033	1189.622	2203.938	1956.965	1887.305	2355.727	2060.401	2066.298	855.454	655.271	812.221
202861_at	245.868	319.956	214.895	586.111	527.325	228.428	402.32	512.614	322.975	65.606	144.789	44.437
202953_at	78.67	6.363	18.53	140.467	69.509	20.046	53.192	19.815	37.863	97.505	42.4	118.156
203065_s_at	121.272	95.631	126.395	88.723	53.667	11.865	79.617	43.986	28.076	364.563	356.886	340.693
203270_at	1709.296	1782.96	1686.116	1178.487	1983.05	1478.378	1437.139	1124.312	1744.735	1307.358	1205.043	1457.924
203305_at	83.34	55.072	78.799	122.009	45.384	64.747	104.704	58.988	112.889	523.73	488.99	425.014
203434_s_at	11.88	9.164	5.034	59.34	3.768	10.871	3132.257	2903.422	2542.987	8.625	67.541	13.28
203435_s_at	43.753	16.187	30.012	31.33	24.068	35.774	2384.453	2252.363	2445.83	45.695	26.096	29.824
203510_at	7.433	7.279	11.365	13.625	26.052	37.49	780.005	663.862	658.812	2.537	63.739	14.297
203571_s_at	6.281	9.105	7.529	64.737	15.807	12.837	18.422	18.501	68.381	10.756	27.282	20.111
203591_s_at	57.879	68.882	68.598	42.26	38.572	106.761	3.808	9.708	14.617	774.064	950.915	973.136
203619_s_at	30.594	106.864	84.081	29.097	22.781	6.23	15.231	6.622	22.171	8.516	86.649	11.86
203645_s_at	126.617	14.531	56.081	27.323	52.373	14.729	15.669	9.845	31.771	27.199	112.08	41.593
203680_at	550.873	512.865	424.757	42.26	75.004	103.557	8466.569	6435.736	5818.223	1468.624	2096.509	1571.037
203967_at	1484.991	1652.628	1507.946	762.171	1450.664	1320.01	1461.865	1479.261	2414.309	1299.298	1611.805	1338.337
204007_at	164.8	67.226	153.235	124.27	64.16	99.886	135.951	123.579	90.964	74.929	69.989	93.055
204044_at	1141.822	784.131	988.344	246.406	237.576	147.228	568.007	742.669	457.152	4607.779	4956.544	4615.308
204070_at	99.255	182.343	121.423	167.969	102.385	113.409	580.09	807.084	612.498	157.771	74.235	75.484
204150_at	123.032	70.953	107.949	85.967	21.731	88.03	59.46	83.095	27.136	133.757	30.837	27.845
204351_at	141.053	46.696	11.578	15.746	20.181	14.34	11.582	22.515	14.069	427.985	430.124	382.75
204392_at	136.848	222.406	139.619	538.133	409.72	410.679	140.326	129.99	171.081	1117.914	907.002	1071.554
204457_s_at	267.493	326.4	249.356	10.214	12.266	6.113	4.853	14.017	10.457	248.385	203.774	203.822
204470_at	83.037	12.038	49.419	32.417	70.744	32.03	17.923	52.86	10.341	56.272	70.164	58.447
204475_at	37.075	3.727	3.583	4.536	9.642	37.773	16.841	2.307	3.478	2.879	11.115	12.032
204518_s_at	11.64	9.621	18.775	11.227	13.111	12.246	6.782	14.749	13.703	3306.732	3089.617	2904.824
204558_at	1952.157	1456.159	1894.543	1190.322	949.38	1149.771	930.955	1013.066	993.505	1538.023	1398.741	1730.978
204581_at	16.094	11.727	46.464	3663.432	1777.167	1495.396	2480.103	2714.218	1225.342	257.143	72.218	117.249
204614_at	21.466	7.539	21.073	1902.733	1997.193	2215.753	8.465	9.24	29.483	9522.291	11231.998	9948.292
204621_s_at	11.655	58.538	14.969	109.447	41.962	86.864	36.497	14.688	52.563	101.946	21.2	56.621
204622_x_at	118.023	51.466	49.155	87.522	48.315	5.3	3.282	43.709	8.803	109.688	100.398	108.469
204627_s_at	107.578	86.722	96.281	1047.205	1117.107	835.177	23.343	50.518	106.364	88.781	38.053	106.149
204695_at	2419.817	2885.689	3035.325	742.959	1775.463	1470.25	763.693	1064.466	1530.117	875.224	1023.342	1245.008
204731_at	41.089	43.773	87.329	243.807	362.394	422.412	30.506	59.004	58.052	364.187	274.098	323.776
204748_at	64.775	50.34	9.521	118.334	121.089	167.191	42.18	17.432	17.994	80.031	56.17	38.369
204760_s_at	25.241	105.814	105.832	16.144	32.256	126.721	14.186	40.195	71.462	27.462	47.151	27.533
204787_at	192.694	153.026	226.705	88.416	102.751	143.383	62.537	240.92	133.918	185.284	137.92	134.517
204890_s_at	8861.111	8304.618	8566.98	110.746	98.394	134.001	460.657	543.244	394.167	80.35	56.125	83.394
205133_s_at	12426.913	16128.305	13909.889	12245.03	17225.482	19360.941	13628.785	12950.562	16268.352	11165.659	11022.155	11689.084
205164_at	1984.619	1312.751	2355.92	1250.074	892.782	722.752	609.728	941.608	559.953	339.439	166.212	158.818
205171_at	651.154	581.447	518.011	558.838	330.276	467.104	516.805	593.534	497.432	199.54	182.846	190.823
205207_at	71.62	66.734	128.533	74.903	170.067	63.354	55.279	200.362	157.259	81.277	92.66	148.96
205226_at	6.171	7.613	8.952	266.136	228.106	195.514	17.102	11.3	19.324	24.214	34.503	10.479
205237_at	59.902	33.914	34.554	12.713	54.851	56.945	8.78	11.414	68.198	6.609	30.137	73.062
205242_at	56.55	3.684	7.221	8.318	7.794	3.246	10.705	4.215	6.985	8.104	21.929	7.637
205266_at	36.13	15.152	9.213	96.132	140.639	137.011	7.713	63.189	14.336	18.172	20.885	25.934
205484_at	2508.444	3693.57	3981.282	684.264	417.887	361.698	4497.275	4507.446	3926.507	194.045	173.218	193.438
205686_s_at	18.302	12.504	11.982	400.013	668.42	706.22	563.692	534.587	554	16.455	85.058	23.771
205758_at	285.35	141.526	226.265	25.547	67.871	112.437	29.567	48.435	30.416	247.753	39.801	85.57
205890_s_at	8.978	9.309	10.869	2398.588	5028.554	5193.168	16.752	13.521	10.364	55.19	13.065	8.633
205898_at	147.108	46.117	88.383	24.992	18.773	47.085	7.027	60.655	25.576	1622.491	1506.384	1497.632
205922_at	7.589	6.275	4.984	229.532	171.116	179.939	1447.809	1139.019	979.393	21.988	6.272	6.01
205933_at	29.024	39.742	25.576	481.302	493.933	496.421	268.868	438.697	289.466	267.028	190.638	202.209
206028_s_at	200.011	204.378	224.172	87.013	43.722	51.191	18.367	31.705	102.321	80.539	114.998	125.4
206114_at	6.232	7.055	5.813	18.97	10.694	16.185	8.84	90.515	10.93	7.556	11.384	10.951
206120_at	15.884	6.806	12.61	26.703	13.025	35.174	29.203	19.267	8.385	1628.501	1173.781	1266.191
206222_at	89.32	41.783	34.476	96.246	17.446	109.933	52.154	77.465	100.032	83.67	122.987	70.846
206355_at	74.542	12.241	66.952	26.044	37.388	10.07	122.304	88.323	65.91	70.943	56.013	59.309
206407_s_at	158.903	37.174	164.692	30.921	107.64	108.187	27.304	40.477	65.515	33.676	29.297	31.855
206421_s_at	16	5.209	12.31	13.428	10.73	15.03	28.937	39.862	24.78	6.2	8.514	8.469
206569_at	10.938	43.971	75.149	53.996	22.64	86.606	31.255	16.687	42.194	113.491	102.668	112.901
206638_at	50.72	39.238	67.647	15.177	22.948	8.205	15.875	5.745	3.521	3.22	13.613	3.013
206641_at	12.86	4.945	5.753	934.893	920.466	958.463	332.643	409.519	428.243	294.262	2.819	82.141
206653_at	1033.796	1332.667	1777.178	814.87	1003.268	1092.962	1639.691	1332.938	1726.613	309.816	252.95	269.614
206682_at	50.698	17.826	107.607	52.943	84.02	74.546	14.898	68.936	20.466	79.154	42.809	84.742
206749_at	335.39	236.199	331.35	16.643	18.955	14.104	10.468	122.705	9.875	19.696	17.47	14
206804_at	4160.341	5378.404	5495.953	20.33	29.763	22.898	29.028	94.066	54.41	30.161	33.592	34.033
206974_at	54.262	39.865	71.151	100.599	23.095	19.881	17.437	20.515	22.757	26.943	74.318	60.696
206975_at	10.112	8.315	20.301	3187.707	2600.542	2624.755	684.95	798.711	892.18	109.9	9.661	24.995
207008_at	33.648	89.064	52.66	58.83	61.929	45.055	31.492	36.936	51.287	728.579	775.948	766.091
207094_at	30.488	10.471	59.964	13.435	41.306	43.052	20.533	17.898	15.136	33.459	11.041	51.531
207232_s_at	138.084	69.194	182.468	177.434	160.368	141.786	243.952	286.968	264.159	8.973	16.512	11.06
207277_at	143.861	66.822	92.156	97.886	142.271	82.885	97.681	185.782	171.771	299.574	330.032	346.262
207278_s_at	113.955	99.293	174.537	33.067	196.629	70.386	116.337	19.35	128.945	177.784	150.741	122.515
207316_at	65.814	37.829	51.644	40.276	27.51	22.985	83.426	21.302	43.503	40.484	18.606	74.139
207328_at	9.369	3.13	9.769	10.123	8.716	6.384	5.449	11.721	3.715	6.649	6.186	9.153
207336_at	17.218	109.852	134.985	4.943	4.116	3.285	163.688	162.221	128.748	20.737	14.149	12.092
207442_at	102.943	10.168	87.762	12.623	24.362	19.057	6.461	47.77	16.89	24.916	31.668	33.08
207850_at	125.516	38.877	56.378	153.624	124.951	16.934	83.57	36.936	70.274	100.215	17.525	52.852
207852_at	2.063	27.868	3.412	33.818	6.911	31.33	26.53	26.008	3.606	28.256	23.113	41.028
207892_at	30.222	11.429	79.032	26.505	27.999	14.56	43.853	7.323	12.269	23.368	21.878	22.103
207906_at	8.62	3.725	4.823	11.68	5.113	7.423	4.38	9.813	4.11	12.476	4.725	6.62
207979_s_at	96.561	17.589	78.87	83.907	12.897	25.729	64.992	27.737	64.366	18.48	70.115	124.858
208193_at	76.633	15.716	6.921	8.912	31.117	15.356	28.431	40.976	50.675	62.508	2.373	8.321
208406_s_at	186.183	197.017	265.856	2241.059	1881.74	1545.997	9.959	20.763	24.561	155.47	22.843	170.086
208592_s_at	232.76	181.615	268.664	27.677	63.069	115.151	91.313	28.487	93.311	40.73	46.044	81.429
208771_s_at	4771.997	4980.951	4807.583	5468.941	3416.418	3192.904	9075.261	9904.537	6687.926	3555.073	3579.378	3196.857
208782_at	381.517	291.779	486.535	80.313	93.628	99.676	64.244	73.947	61.217	569.386	511.059	477.997
208862_s_at	140.389	86.49	42.374	684.818	823.436	690.405	236.194	161.116	186.223	294.609	306.597	282.128
209000_s_at	582.516	381.667	458.767	594.478	579.061	648.765	264.143	226.328	206.804	245.823	250.92	268.757
209101_at	4.49	28.845	9.117	10.317	12.151	26.269	6.491	3.607	3.532	29.105	58.784	5.054
209182_s_at	22.748	50.305	40.999	69.753	22.062	23.493	23.991	40.897	69.984	66.75	63.118	28.089
209183_s_at	23.259	25.658	23.252	21.658	16.298	15.754	15.997	16.477	16.338	32.941	22.061	28.884
209277_at	25.639	20.485	32.838	4.969	29.135	36.828	6.509	3.217	2.855	3.566	2.416	3.859
209278_s_at	4.676	2.865	6.792	8.252	12.258	8.212	3.678	6.082	3.522	5.038	3.865	4.348
209588_at	170.122	136.067	150.232	207.976	193.315	156.326	122.156	84.661	66.007	92.096	87.085	89.863
209589_s_at	45.791	66.951	43.756	56.989	39.593	11.656	86.138	8.389	44.889	34.501	6.955	16.644
209670_at	535.263	368.6	378.02	2051.039	1589.058	1530.925	251.358	393.652	255.841	347.938	16.869	25.888
209840_s_at	24.013	7.899	12.082	16.742	34.323	7.773	8.262	18.894	9.62	13.813	15.735	19.082
209841_s_at	180.538	53.617	220.586	181.19	127.547	177.937	39.784	158.774	19.987	189.378	104.79	90.132
209995_s_at	123.72	20.149	9.278	39.525	66.281	27.397	9599.863	11622.283	8866.271	22.53	319.27	57.174
210118_s_at	94.308	14.46	29.481	21.994	23.121	11.355	25.07	10.349	24.842	24.107	25.554	14.028
210218_s_at	225.053	207.649	231.588	702.224	587.443	510.336	305.04	338.518	304.031	383.088	332.591	325.405
210325_at	1471.395	977	1340.422	90.103	103.24	190.912	59.005	165.137	124.414	251.572	129.83	137.331
210356_x_at	262.592	97.299	141.543	8824.1	4648.271	4829.905	14969.741	10850.976	13428.645	825.084	347.297	315.575
210432_s_at	175.529	114.9	25.526	198.813	205.999	140.234	17.065	4.549	4.984	13.663	2.987	46.065
210484_s_at	67.03	81.379	70.424	83.049	116.993	65.423	61.029	21.658	51.178	160.322	129.914	63.528
210495_x_at	14.103	6.996	6.589	10.779	11.552	34.881	9.438	15.381	14.804	14.043	10.7	62.192
210511_s_at	22.131	10.373	13.37	18.5	20.886	13.621	16.41	10.185	7.511	6.076	5.399	13.065
210705_s_at	120.407	133.765	120.415	1282.912	993.853	1052.252	184.437	139.8	242.019	308.849	290.606	348.193
210830_s_at	7.892	16.784	4.673	1554.812	1932.47	1897.829	5.607	4.182	29.869	671.078	828.15	831.088
210865_at	100.567	46.113	58.945	13.702	65.488	80.237	78.711	44.259	25.056	101.451	39.269	126.207
210933_s_at	301.823	425.176	397.93	429.431	1216.833	1122.308	115.544	177.21	390.651	2949.961	3897.719	3148.722
