GeneSym	17-002	17-006	17-019	17-023	17-026	17-027	17-030	17-034	17-040	17-041	17-042	17-043	17-045	17-047	17-054	17-055	17-057	17-058	17-060	17-061
7A5	22.31589866	25.28132198	27.09585	22.00866909	28.05138308	19.97328878	23.58830748	22.31589866	24.5900029	23.75237713	24.42014734	22.627417	22.78480313	25.8125363	24.42014734	23.75237713	21.85664411	21.55573723	27.09585	22.31589866
A1BG	22.16175149	36.25228433	23.26356028	27.6651914	25.8125363	25.28132198	24.7610399	25.63423608	22.47111801	25.99207668	31.12495832	21.11212657	23.91758798	27.09585	24.42014734	23.26356028	36.75834736	37.01402188	27.85761803	36.00187151
A1CF	24.25146506	21.25897303	22.31589866	25.45716748	23.75237713	29.24260641	22.47111801	23.91758798	23.58830748	24.5900029	22.31589866	24.7610399	22.94328397	22.00866909	24.08394796	23.75237713	23.75237713	31.34144952	21.55573723	25.10669113
A26C3	22.78480313	23.91758798	21.85664411	30.48441594	24.5900029	25.99207668	19.97328878	27.85761803	23.75237713	23.91758798	28.24649588	26.17286587	30.69645182	24.25146506	20.96629446	26.35491255	28.8400148	31.34144952	23.26356028	27.09585
A2BP1	42.51794605	22.627417	21.25897303	20.96629446	22.78480313	26.35491255	21.55573723	25.10669113	22.00866909	20.96629446	23.26356028	24.42014734	27.85761803	25.10669113	20.39297004	21.25897303	20.67764529	21.85664411	20.53481436	22.16175149
A2LD1	30.69645182	22.78480313	31.34144952	20.82146969	21.11212657	31.55944654	39.12448889	23.58830748	23.26356028	30.48441594	26.35491255	24.7610399	27.47409397	27.47409397	31.55944654	20.53481436	22.16175149	19.97328878	25.8125363	29.44600482
A2M	20.11221399	19.8353232	20.11221399	19.8353232	19.42711815	20.39297004	22.16175149	21.11212657	20.2521055	19.69831061	19.29292524	19.29292524	20.2521055	19.15965927	20.53481436	19.56224444	19.69831061	19.02731384	20.82146969	20.53481436
A2ML1	20.82146969	19.69831061	19.56224444	19.42711815	19.8353232	19.15965927	19.02731384	19.02731384	20.11221399	19.56224444	22.16175149	19.69831061	20.11221399	19.29292524	19.42711815	20.11221399	19.97328878	19.97328878	19.29292524	19.8353232
A3GALT2	31.34144952	23.42537114	24.93326655	23.10286713	22.47111801	23.42537114	24.42014734	23.26356028	21.25897303	22.16175149	24.42014734	23.75237713	26.35491255	22.16175149	23.75237713	22.94328397	21.70566924	33.12847756	22.16175149	22.16175149
A4GALT	19.69831061	19.15965927	19.69831061	19.69831061	20.67764529	20.11221399	19.15965927	21.25897303	19.8353232	20.11221399	19.69831061	18.63573738	19.69831061	19.69831061	18.37917368	19.8353232	18.89588258	19.69831061	19.15965927	19.42711815
A4GNT	19.56224444	22.16175149	28.24649588	30.06472797	26.53822547	22.47111801	22.627417	21.25897303	32	24.08394796	21.85664411	21.25897303	22.627417	20.11221399	21.40684088	18.89588258	22.16175149	22.31589866	21.70566924	19.29292524
AAA1	23.10286713	24.42014734	25.10669113	24.25146506	21.25897303	22.16175149	21.40684088	23.75237713	24.7610399	23.91758798	34.53530357	24.5900029	27.09585	23.10286713	24.93326655	22.94328397	22.78480313	27.09585	32.2225776	28.8400148
AAAS	20.2521055	20.82146969	24.7610399	20.11221399	19.8353232	20.11221399	20.96629446	22.78480313	21.11212657	21.70566924	20.39297004	21.55573723	19.8353232	18.89588258	18.89588258	19.97328878	19.56224444	18.50701094	20.39297004	18.63573738
AACS	24.7610399	23.42537114	28.8400148	25.28132198	24.25146506	23.91758798	21.40684088	21.25897303	27.85761803	22.16175149	22.31589866	20.96629446	28.05138308	24.25146506	20.2521055	24.25146506	23.58830748	23.75237713	19.8353232	24.08394796
