A0_EV	A1_EV	A2_EV	DBCO	Stroke	T_EV
Gm37671	0	0	0	0	0	0
Gm19087	0	0	0	0	6.27077193202483e-05	0
Gm8941	0	0	0	0	0	0
Gm38212	0	0	0	0	0	0
Gm7449	0	1	0	0	6.27077193202483e-05	6.68985817500669e-05
Gm15178	0	0	0	0	0	0
Gm28283	0	0	0	0	0	0
Gm37108	7.64759865402264e-05	4	0.000274122807017544	0.000502873563218391	0.00037624631592149	0.000401391490500401
Gm37275	0	0	0	0	0	0
Gm6679	0	0	0	0	0	0
Gm29155	7.64759865402264e-05	0	0.000137061403508772	7.18390804597701e-05	0.000313538596601242	0.000535188654000535
C730036E19Rik	0	0	0	0	0	0
Gm37225	0	0	0	0	0	0
Gm17847	0	0	0	0	0	0
Gm28281	0	0	0	0	0	0
Gm29157	0.00107066381156317	17	0.00109649122807018	0.00316091954022989	0.00307267824669217	0.00394701632325395
Gm37489	0	0	0	0	0	0
Gm29156	0.000229427959620679	1	6.8530701754386e-05	0.000574712643678161	0.000627077193202483	0.000735884399250736
Gm22159	0	0	0	0	0	0
Gm5694	0	0	0	0	0	0
7SK	0	0	0	0	0	0
Gm8141	7.64759865402264e-05	1	6.8530701754386e-05	0	6.27077193202483e-05	0
Pcmtd1	0.247705720403793	3318	0.238555372807018	0.57183908045977	0.562613657741268	0.614931763446615
Gm26983	7.64759865402264e-05	1	0	7.18390804597701e-05	0.000501661754561987	6.68985817500669e-05
Gm38372	0.00221780360966656	27	0.00205592105263158	0.0136494252873563	0.0192512698313162	0.00648916242975649
Gm9826	0	0	0	0	0	0
Nras-ps2	0	0	0	0	0	0
Gm23274	0	0	0	0	0	0
Gm19002	0	0	0	0	0	6.68985817500669e-05
Gm26901	0.00130009177118385	13	0.00102796052631579	0.00890804597701149	0.00871637298551452	0.00515119079475515
Gm18984	0	0	0	0	0	0
Gm30414	0	1	6.8530701754386e-05	0	0	0
Gm37791	0	0	0	0	0	0
Gm7470	0	0	0	0	0	0
Rps2-ps2	0	0	6.8530701754386e-05	0	6.27077193202483e-05	6.68985817500669e-05
Gm38216	0	0	0	0	0	0
Cdh7	0.000994187825022943	26	0.00157620614035088	0.00387931034482759	0.00263372421145043	0.00173936312550174
